request_id,sampleRTT,estimatedRTT,devRTT
0,1154.00,1154.00,577.00
3,1039.00,1139.63,517.45
6,1452.00,1178.67,486.94
9,1948.00,1274.84,510.22
12,219.00,1142.86,561.92
13,1228.00,1153.50,500.99
15,555.00,1078.69,503.83
17,625.00,1021.98,490.47
18,1945.00,1137.36,530.12
19,2875.00,1354.56,653.91
22,219.00,1212.62,696.37
23,1880.00,1296.04,682.32
27,196.00,1158.53,717.35
29,760.00,1108.72,671.27
31,58.00,977.38,702.28
32,1875.00,1089.58,712.67
33,2750.00,1297.13,805.20
34,3259.00,1542.37,919.13
37,2052.00,1606.07,859.98
